项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
关帝山国家森林公园自然教育展示设施建设项目（第一期）施工招标,吕梁市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/11,2026 年 6 月 11 日 17 时 00 分至 2026 年 7 月 2 日 10 时 00 分前,3.1   001 第一标段：   投标人须具备建设行政主管部门颁发的建筑工程施工总承包三级及以上资质，有效的营业执照，安全   生产许可证，并在人员、设备、资金等方面具有相应的施工能力；投标人拟派项目经理须具备建筑专业二   级及以上建造师注册证书，具备有效的安全生产考核证，且未担任其它在施建设工程项目的项目经理；   002 第二标段：   投标人须具备建设行政主管部门颁发的市政公用工程施工总承包三级及以上资质，有效的营业执照，   安全生产许可证，并在人员、设备、资金等方面具有相应的施工能力；投标人拟派项目经理须具备市政公   1 用工程专业二级及以上建造师注册证书，具备有效的安全生产考核证，且未担任其它在施建设工程项目的   项目经理；   3.2 单位负责人为同一人或者存在控股、管理关系的不同单位，不得同时对本项目提出投标申请，否   则投标无效；   3.3 投标人、法定代表人和拟派项目经理近三年内无行贿犯罪记录；   3.4 投标人未列入全国建筑市场监管公共服务平台或者本省建筑市场监管公共服务平台建筑市场主体   “黑名单”；投标人未列入“国家企业信用信息公示系统”严重违法失信企业名单，投标人未列入“信用中   国”网站失信被执行人名单；   3.5 投标人可同时报名参与两个标段投标，但只能中标其中一个标段；   3.6 本次招标不接受联合体投标。   四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1063936.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064894.jhtml,暂无,暂无,暂无,暂无,暂无,关帝山国家森林公园自然教育展示设施建设项目（第一期）施工招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1063936.jhtml；关帝山国家森林公园自然教育展示设施建设项目（第一期）施工招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1063932.jhtml
县道定中线张村至王庄段公路改造工程招标,晋城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/29,2026-05-29 18:00 至 2026-06-05 18:00   获取方式：1 ） 凡 有 意 参 加 投 标 报 名 者 ， 登 录 全 国 公 共,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1060362.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064884.jhtml,暂无,暂无,暂无,暂无,暂无,县道定中线张村至王庄段公路改造工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1060362.jhtml
长治市屯留区供水管网改造项目全过程工程咨询服务,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/05,2026年6月5日至2026年6月29日,3.1本次招标要求投标人具备以下资格要求：   3.1.1本次招标要求投标人须具有独立法人资格及有效的营业执照；并在人员、设备、   资金等方面具有相应能力；   3.2 资质要求：   3.2.1 投标人（或联合体牵头人）应当具备有效的“全国投资项目在线审批监管平台”   备案证明（备案专业须包括市政公用工程）或工程咨询单位（市政公用工程）乙级及以上   资信证书；   3.2.2 勘察资质要求：具备建设行政主管部门颁发的工程勘察综合甲级资质或工程勘   察专业类（岩土工程）乙级及以上资质；   3.2.3 设计资质要求：具备工程设计综合甲级资质或工程设计市政行业乙级及以上资   质或工程设计市政行业（给水工程）专业乙级及以上资质；   3.2.4 监理资质要求：具备主管部门颁发的工程监理综合甲级资质或市政公用工程监   理乙级及以上资质。   3.3 人员要求：   3.3.1投标人拟派往本项目全过程咨询项目总负责人须为本单位在职在岗人员，并具备   市政公用工程相关专业注册执业资格国家级注册监理工程师或注册公用设备工程师（给水   排水）或注册咨询师（市政公用工程），并具有工程类或工程经济类高级工程师及其以上   职称（如为联合体投标的，须为联合体牵头人）；   3.3.2 勘察负责人要求：须为本单位在职人员并具备注册岩土工程师执业资格；   3.3.3设计负责人要求：须为本单位在职人员并具备注册公用设备工程师（给水排水）   执业资格或相关专业的高级工程师及其以上职称；   3.3.4 项目总监要求：须为本单位在职人员并具备市政公用工程专业国家级注册监理   工程师执业资格；   3.3.5 全过程造价咨询负责人要求：须为本单位在职人员并具备国家一级注册造价工   程师执业资格；   3.4财务要求：投标人须提供 2025年度经第三方审计的完整的财务审计报告（成立时   间少于该规定年份的，应提供基本开户银行出具的资信证明）（以联合体投标的，联合体   各成员单位均需提供）；   3.5信誉要求：投标人须提供自招标公告发布之日起至,https://prec.sxzwfw.gov.cn/jyxxgczb/1062325.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064867.jhtml；https://prec.sxzwfw.gov.cn/jyxxgcgz/1064837.jhtml,暂无,暂无,暂无,暂无,暂无,长治市屯留区供水管网改造项目全过程工程咨询服务招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1063537.jhtml；长治市屯留区供水管网改造项目全过程工程咨询服务招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1062325.jhtml；长治市屯留区供水管网改造项目全过程工程咨询服务招标控制价变更公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1064837.jhtml
华信振阳高新区200MW/400MWh独立储能项目EPC总承包,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064689.jhtml,暂无,暂无,暂无,暂无,暂无,暂无
大秦铁路股份有限公司大同铁路工程建设指挥部太原职工培训基地忻州培训站供电专业实训基地建设工程施工总价承包项目(1标段),山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/20,2026-05-20 18:00   --     2026-05-26 09:00,001大秦铁路股份有限公司大同铁路工程建设指挥部太原职工培训基地忻州培训站供电专业实训基地建设工程施工总价承包: 3.1本次招标要求投标人为在中华人民共和国境内合法注册的独立法人，具备有效的营业执照、施工企业资质和安全生产许可证等，并在人员、设备、资金等方面具备相应的施工能力。资格要求如下：（1）资质要求：须同时具备铁路电气化工程专业承包二级及以上资质、铁路电务工程专业承包二级及以上资质，有效的安全生产许可证。（2）业绩要求：近3年内须具备铁路电气化工程或公路、地铁、城市轨道交通电气化工程施工业绩，无被责令暂停投标情况。（3）项目经理：须具有铁路工程专业或机电工程专业一级注册建造师执业资格证书，工程师及以上职称，有效的安全生产考核合格证书，与投标人具有有效的劳动和社保关系，且未在其他在建工程项目任职。3.2各投标人可就上述标段中的1个标段进行投标。3.3投标人未在“信用中国”网站（www.creditchina.gov.cn）中被列入失信被执行人名单，投标人未在国家企业信用信息公示系统（www.gsxt.gov.cn）中被列入严重违法失信企业名单，投标人未被列入“黑名单”，投标人及其法定代表人、拟委派的项目经理在近3年不曾有行贿犯罪记录。3.4本标段接受联合体投标申请，联合体投标应满足下列要求：联合体成员上限为（含牵头方）：2家，联合体牵头方需满足铁路电气化工程专业承包二级及以上资质，联合体须向招标人提交联合体共同投标协议，协议中应明确联合体组建原则、牵头方名称、联合体各方职责分工等内容。 本标段                 允许             联合体投标。 四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1056570.jhtml,暂无,中铁电气化局集团北京电气化工程有限公司、中铁五局集团电务工程有限责任公司、中铁六局集团电务工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1065069.jhtml,暂无,暂无,暂无,大秦铁路股份有限公司大同铁路工程建设指挥部太原职工培训基地忻州培训站供电专业实训基地建设工程施工总价承包项目(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056570.jhtml
2024年陵川县燃气管道老化更新改造工程,山西省本级,2403-140524-89-01-919178,房屋市政,施工,陵川县住房和城乡建设管理局,自主发布,陵川县城,项目主要建设内容包含庭院燃气管道及立管改造、庭院架空管道防腐层治理、更换及安装防雷接地保护措施、老旧调压设备更换及配置智慧燃气装置、用户室内燃气系统设施改造、增设安全标识及警示牌等配套设施。,5139.60（万元）,公开招标,晋城市住房和城乡建设局,陵川县住房和城乡建设管理局,2026/05/21,2026 年 05 月21 日 12 时 00 分至  2026 年 05 月26日12 时 00 分（北京时间）（法定节假日、公休日不休）4.2 招标文件获取,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056938.jhtml,暂无,兴润建设集团有限公司、河南紫光建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1065047.jhtml,暂无,暂无,暂无,2024年陵川县燃气管道老化更新改造工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1002750.jhtml；2024年陵川县燃气管道老化更新改造工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056938.jhtml
大秦铁路股份有限公司侯马北车辆段预检预修库改造工程施工总价承包项目(1标段),山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/20,2026-05-20 18:00   --     2026-05-26 09:00,001大秦铁路股份有限公司侯马北车辆段预检预修库改造工程施工总价承包: 3.1本次招标要求投标人为在中华人民共和国境内合法注册的独立法人，具备有效的营业执照、施工企业资质和安全生产许可证等，并在人员、设备、资金等方面具备相应的施工能力。资格要求如下：（1）资质要求：须同时具备建筑工程和铁路工程施工总承包三级及以上资质，有效的安全生产许可证。（2）业绩要求：近三年内须具备铁路营业线施工业绩及铁路站场房屋建筑工程或地铁、城市轨道交通站场房屋建筑工程，无被责令暂停投标情况。（3）项目经理：须具有建筑工程专业二级及以上注册建造师执业资格证书或铁路工程专业一级注册建造师执业资格证书，工程师及以上职称，有效的安全生产考核合格证书，与投标人具有有效的劳动和社保关系，未在其他在建工程项目任职。3.2各投标人可就上述标段中的1个标段进行投标。3.3投标人未在“信用中国”网站（www.creditchina.gov.cn）中被列入失信被执行人名单，投标人未在国家企业信用信息公示系统（www.gsxt.gov.cn）中被列入严重违法失信企业名单，投标人未被列入“黑名单”，投标人及其法定代表人、拟委派的项目经理在近三年不曾有行贿犯罪记录。3.4本标段接受联合体投标申请，联合体投标应满足下列要求：联合体成员上限为（含牵头方）:2家，联合体牵头方需满足建筑工程施工总承包三级及以上资质，联合体须向招标人提交联合体共同投标协议，协议中应明确联合体组建原则、牵头方名称、联合体各方职责分工等内容。 本标段                 允许             联合体投标。 四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1056512.jhtml,暂无,山西诚玖路桥工程有限公司、国吉建设工程有限公司、山西天信建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1065037.jhtml,暂无,暂无,暂无,大秦铁路股份有限公司侯马北车辆段预检预修库改造工程施工总价承包项目(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056512.jhtml
山西晋煤太钢能源有限责任公司三交一号煤矿矿井视频监控系统采购项目,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026年05月15日18:00至2026年05月22日18:00(北京时间),暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055388.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1061774.jhtml,中电信数智科技有限公司、中国移动通信集团山西有限公司、太原晋网时空网络科技有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1065019.jhtml,暂无,暂无,暂无,山西晋煤太钢能源有限责任公司三交一号煤矿矿井视频监控系统采购项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055388.jhtml；山西晋煤太钢能源有限责任公司三交一号煤矿矿井视频监控系统采购项目招标延期公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1061774.jhtml
阳泉市郊区2026 年国土绿化综合治理项目施工第十三标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,阳泉市金源绿化工程有限公司、山西农垦园林绿化工程有限公司、山西万华园林绿化工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064996.jhtml,暂无,暂无,暂无,暂无
山西省肿瘤医院医疗服务综合能力提升修缮工程（病房改造提升）项目监理(三次),太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/21,2026年05月21日17时00分至2026年05月27日17时00分（北京时间）获取方法： 登录《全国公共资源交易平台（山西省太原市）》（ggzy.xzspg,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1057062.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064993.jhtml,暂无,暂无,暂无,山西省肿瘤医院医疗服务综合能力提升修缮工程（病房改造提升）项目监理(三次)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1057062.jhtml
太原市万柏林区老年医养照护中心投资+委托运营项目精装修工程,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064992.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第二标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,昔阳县绿泰美农林有限公司、河南道冠建设工程有限公司、河南省韶旭建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064991.jhtml,暂无,暂无,暂无,暂无
太原供水集团有限公司北张东路等给水管线改造工程监理,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/25,2026年05月25日17时00分至2026年06月01日17时00分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1058531.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064990.jhtml,暂无,暂无,暂无,太原供水集团有限公司北张东路等给水管线改造工程监理招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1058531.jhtml
阳泉市郊区2026 年国土绿化综合治理项目施工第三标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,天逸建设集团有限公司、纵横九州路桥建设有限公司、山西腾笺建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064989.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第四标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西鸿洲建设服务有限责任公司、和顺县东毅绿化有限公司、阳泉市中岩建筑施工有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064988.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第五标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,沁源县沁馨园林绿化有限公司、山西华宏建设工程有限公司、河南瑞泰建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064987.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第六标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西锦晟生态环境科技有限公司、山西华宏建设工程有限公司、河南林正建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064986.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第八标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,阳泉青翠源绿化工程有限公司、河南恩科园林绿化有限公司、鹤壁市瑞丰园林绿化工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064985.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第九标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西华宏建设工程有限公司、阳泉渝园盛景园林绿化工程有限公司、山西常青园林绿化工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064980.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第十标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西宏远建设工程有限公司、楷龙建设有限公司、河南禹水建工有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064979.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第十一标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,名都园林建设有限公司、山西鸿洲建设服务有限责任公司、山西汇江园林绿化工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064977.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第十二标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,太原弘景建设工程有限公司、太原市青青绿草园林绿化工程有限公司、山西广池建设有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064976.jhtml,暂无,暂无,暂无,暂无
阳泉市郊区2026 年国土绿化综合治理项目施工第一标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西南海建设有限公司、阳泉市四季绿化工程有限公司、阳泉市保安龙泉沟绿色生态园,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064969.jhtml,暂无,暂无,暂无,暂无
长治市潞州区2026年农村公路（街巷）改造工程二次,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/20,2026 年 05 月 20 日至 2026 年 06 月 12 日 获取方法：在全国公共,3.1 本次招标要求投标人具有在中华人民共和国境内注册的独立法人资格和有效的安全   生产许可证，须具备公路工程施工总承包叁级及其以上资质，并在人员、设备、资金等方   面具有相应的施工能力；投标人在近五年（2021年5月1日至投标截止时间通过交工或竣工验   收，以竣（交）工验收报告时间为准）至少承担过1项四级及以上公路新（改、扩）建公路工   程施工业绩；   注：①业绩证明材料以中标通知书、施工合同、竣工或交工验收报告的彩色扫描件及该   项目在规定媒介或网站上发布的招标公告及中标结果公示网页截图。②公路工程施工总承包   一级及以上资质的投标人，应进入交通运输部“全国公路建设市场监督管理系统   （hwdms.mot.gov.cn）”中的公路工程施工资质企业名录，且投标人名称和资质与该名录中   的相应企业名称和资质完全一致；   3.2拟任项目经理须具有工程师及以上职称（公路工程相关专业），并持有本单位注   册的公路工程专业二级及以上建造师注册证书及交通主管部门颁发的安全生产考核合格   证书（B证）；作为项目经理在近五年（2021年5月1日至投标截止时间通过交工或竣工验   收， 以竣（交）工验收报告时间为准）至少完成过1项四级及以上公路新（改、扩）建公   路工程 施工业绩。   3.3项目总工须具有工程师及以上职称（公路工程相关专业），并持有交通主管部门颁   发 的安全生产考核合格证书（B证）；作为项目总工在近五年（2021年5月1日至投标截止时   间通 过交工或竣工验收，以竣（交）工验收报告时间为准）至少完成过1项四级及以上公路   新（改、扩）建公路工程施工业绩。   3.4财务要求：投标人2024年度或2025年度的年末流动资产合计与流动负债合计的比   率不应小于 1；   3.5 凡被交通运输部或山西省交通运输厅取消或暂停公路工程投标资格的施工企业，   在 处罚期内无资格参与本项目的投标；   — 2 —   3.6 与招标人存在利害关系且可能影响招标公正性的单位，不得参加本项目的投标。   单 位负责人为同一人或者存在控股、管理关系的不同单位，及法律法规规定的关联关系   其他情 形的，不得同时参与本项目的投标，否则相关投标均无效；   3.7在“信用中国”网站（https://www.creditchina.gov.cn）中被列入失信被执行   人名单的投标人，不得参加投标；投标人在国家企业信用信息公示系统   （（https://www.gsxt.gov.cn/））中被列入严重违法失信企业名单的投标人，不得参加投   标；   3.8 投标人及其法定代表人、拟委任的项目经理在近三年内（2023年5月1日至投标文件递   交截止日。）无行贿犯罪行为。   3.9本次招标不接受联合体投标。   四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1056574.jhtml,暂无,山西三建集团有限公司、中简建设集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064938.jhtml,暂无,暂无,暂无,长治市潞州区2026年农村公路（街巷）改造工程二次招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1056577.jhtml；长治市潞州区2026年农村公路（街巷）改造工程二次招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056574.jhtml
陵川县2026年农村供水保障工程,山西省本级,2510-140524-89-05-807300,水利,施工,陵川县农村供水保障工程建设项目部,自主发布,陵川县平城镇、崇文镇、礼义镇、附城镇、潞城镇、杨村镇、夺火乡、马圪当乡、古郊乡、六泉乡。,本工程日供水规模为1863.97立方米，年供水规模为45.35万立方米。主要建设内容包括新建和维修调节池3座，容积约2150立方米;铺设供水管道17.7千米，村内自来水管网改造19个村。,1648.67（万元）,公开招标,陵川县水务局,陵川县农村供水保障工程建设项目部,2026/05/20,2026年5月20日17时00分至2026年5月25日17时00分（北京时间，法定节假日不休）；   4.2招标文件获取方式：登 录 《 千极数采电子交易平台》,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056632.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1063444.jhtml,山西森厦建筑工程有限公司、河南博荣建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064934.jhtml,暂无,暂无,暂无,陵川县2026年农村供水保障工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1038265.jhtml；陵川县2026年农村供水保障工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056632.jhtml；陵川县2026年农村供水保障工程招标延期公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1063444.jhtml
大同市云州区城市地下管网及设施建设改造项目监理(2标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西新星勘测设计集团有限公司、山西亿兴项目管理有限公司、山西天缤工程项目管理有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064922.jhtml,暂无,暂无,暂无,暂无
长治市长丰片区棚户区（城中村）改造及配套基础设施建设项目（五条道路）第三标段施工,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/20,暂无,3.1本次招标要求投标人须具备市政公用工程施工总承包叁级及其以上资质，有效   的营业执照、安全生产许可证，并在人员、设备、资金等方面具有相应的施工能力。其   中，投标人拟担任本项目经理需具备市政公用工程专业贰级及其以上注册建造师执业资   格，具备有效的安全生产考核合格证书，且未担任其他在施建设工程项目的项目经理。   3.2与招标人存在利害关系可能影响招标公正性的法人、其他组织或者个人，不得   参加投标。单位负责人为同一人或者存在控股、管理关系的不同单位，不得参加同一标   段投标或者未划分标段的同一招标项目投标。   3.3提供自招标公告发布之日起至投标截止之日止信用中国（www.creditchina.   gov.cn）查询页面截图（未被列入失信被执行人）。   3.4提供自招标公告发布之日起至投标截止之日止中国裁判文书网   （http://wenshu.court.gov.cn/）无行贿犯罪记录的查询页面截图（须查询企业、法   定代表人、项目经理）。   3.5投标截止日期前最近一次缴纳社保金凭证、企业近半年内任意一次缴纳税收证   明、第三方出具的 2024年度或 2025年度完整的财务审计报告。   3.6本次招标不接受联合体投标。   3.7本次招标采用资格后审方式。   四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1056488.jhtml,暂无,山西诚晟海绵城市科技发展有限公司、山西皓承建设有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064874.jhtml,暂无,暂无,暂无,长治市长丰片区棚户区（城中村）改造及配套基础设施建设项目（五条道路）第三标段施工招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1058776.jhtml；长治市长丰片区棚户区（城中村）改造及配套基础设施建设项目（五条道路）第三标段施工招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056488.jhtml
阳泉市南庄煤炭集团有限责任公司西上庄煤矿121508工作面巷道工程、井下智能分选及矸石处置系统工程,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/21,2026年5月21日18时00分至2026年5月26日18时00分； 获取方法：凡有意参加投标者，请于上述时间在“晋能控股招标采购平台”免费获取招标文件,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056935.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064869.jhtml,暂无,暂无,暂无,阳泉市南庄煤炭集团有限责任公司西上庄煤矿121508工作面巷道工程、井下智能分选及矸石处置系统工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056935.jhtml
清徐经济开发区地下水污染管控修复项目设计,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/21,2026年05月21日17时30分-2026年05月27日17时30分获取方法：登录《全国公共资源交易平台（山西省·太原市）》（ggzy.xzspglj.tai,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1057091.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064866.jhtml,暂无,暂无,暂无,清徐经济开发区地下水污染管控修复项目设计招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1057091.jhtml
定襄县2026年毗邻乡镇、村庄联网公路工程及差等路(智村-张村、黄咀-大南庄、后营-邱村、卫村-西关线)提升工程项目(1标段),忻州市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西中州志远建设有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064851.jhtml,暂无,暂无,暂无,暂无
山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工监理第一标段,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西省建设监理有限公司、山西亿鼎诚建设工程项目管理有限公司、山西厚栋工程项目管理有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064845.jhtml,暂无,暂无,暂无,暂无
