项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
晋城市金凤路改造(东上庄立交桥-太岳街)道路工程对特定影响的咨询评估服务招标,晋城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/03/04,2026-03-04 12:00 至 2026-03-09 12:00   获取方式：1、凡有意参加投标者，请在文件下载时间内通过“全国公共资源交易平台(山西,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1037128.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066666.jhtml；https://prec.sxzwfw.gov.cn/jyxxgcgz/1041586.jhtml,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066666.jhtml,晋城市金凤路改造(东上庄立交桥-太岳街)道路工程对特定影响的咨询评估服务招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1037128.jhtml；晋城市金凤路改造(东上庄立交桥-太岳街)道路工程对特定影响的咨询评估服务招标撤销公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1066666.jhtml；晋城市金凤路改造(东上庄立交桥-太岳街)道路工程对特定影响的咨询评估服务招标延期公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1041586.jhtml
大同古城旅游商超项目(1标段)招标公告,大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/18,2026-06-18 18:00   --     2026-06-23 18:00,001大同古城旅游商超项目第一标段: 3.1要求具有独立的法人资格，且具有建筑装修装饰工程专业承包贰级及以上资质和有效的安全生产许可证及营业执照，并在人员、设备、资金等方面具有相应的施工能力；3.2投标人拟派项目经理须具备建筑工程专业贰级及以上建造师注册证书；具备有效的安全生产考核合格证书（B证），且未担任其他在建工程的项目班子人员。3.3.1与招标人存在利害关系可能影响招标公正性的法人、其他组织或者个人，不得参加投标：3.3.2单位负责人为同一人或者存在控股、管理关系的不同单位，不得参加同一标段投标或者未划分标段的同一招标项目投标。3.4每家投标人只能选择其中的一个标段。 本标段                 不允许             联合体投标。 四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1066365.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066631.jhtml,暂无,暂无,暂无,暂无,暂无,大同古城旅游商超项目(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066365.jhtml
新绛经济技术开发区地下水污染风险管控与修复项目勘察,运城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/16,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1065215.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066586.jhtml,暂无,暂无,暂无,暂无,暂无,新绛经济技术开发区地下水污染风险管控与修复项目勘察招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1065215.jhtml
灵石县燃气有限公司静升LNG调峰储配站技改工程（EPC）招标,晋中市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/18,2026-06-18 16:00至2026-06-23 16:00获取方法：凡有意参加投标者，在晋中市公共资源交易平台线上获取招标文件,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066177.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066553.jhtml,暂无,暂无,暂无,暂无,暂无,灵石县燃气有限公司静升LNG调峰储配站技改工程（EPC）招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066177.jhtml
长治市潞州区太行东西街街区更新项目监理,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066765.jhtml,暂无,暂无,暂无,暂无
山西省公路交通基础设施数字化转型升级项目（交投集团建设部分）设计施工总承包,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066738.jhtml,暂无,暂无,暂无,暂无
朔州市朔城区中央财政“三北”工程林草湿荒一体化保护修复项目(1标段)重新招标,朔州市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066731.jhtml,暂无,暂无,暂无,暂无
晋中开发区标准厂房建设项目二期工程（续建）,晋中市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066730.jhtml,暂无,暂无,暂无,暂无
沁源县县城供热主管网改造工程施工,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066703.jhtml,暂无,暂无,暂无,暂无
山西离柳焦煤集团有限公司朱家店煤矿南风井瓦斯抽放泵站架空线路改造及地面固定瓦斯抽采系统升级改造工程(002标段)重新招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066667.jhtml,暂无,暂无,暂无,暂无
阳泉市城区义井镇义东沟村南苑东区、西区棚户区（城中村）改造工程（东区一期工程）配套基础设施项目施工,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066649.jhtml,暂无,暂无,暂无,暂无
大同市平城区供水管网及设施更新改造项目（一期）(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066646.jhtml,暂无,暂无,暂无,暂无
运城市盐湖区2026年国土绿化综合治理项目（一至九标段）,运城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066599.jhtml,暂无,暂无,暂无,暂无
长治市潞城区微子镇南桥沟山洪沟防洪治理工程施工项目二次（第一标段）,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066579.jhtml,暂无,暂无,暂无,暂无
太原机场三期改扩建工程T3及配套项目转场投运咨询服务,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1066563.jhtml,暂无,暂无,暂无,暂无
