项目性质,项目名称,所属行业,组织形式,招标方式,招标编号/项目编号,招标条件/说明,中标人名称,中标价格,其他公示内容,监督部门,招标人/采购人,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,发布日期,发布网站,详情页面
依法,山西燃气产业集团有限公司神原五分公司2026年度长输天然气管线、站场和阀室维护工程(001标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20251222,山西燃气产业集团有限公司神原五分公司2026年度长输天然气管线、站场和阀室维护工程（招标编号：HXZB-GC20251222），确定001第一标段的中标人如下:,山西沪晋市政工程有限公司,37979.92元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气产业集团有限公司,山西燃气产业集团有限公司神原五分公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,王挺、周文博,0351-2453225、2221733、2221755,2026-01-20 10:34:50,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2013438697203138560
依法,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采项目(004标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251215,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采（招标编号：HXZB-HW20251215），确定004第四标段的中标人如下:,成都安可信电子股份有限公司,596968.83元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,清徐县凯通天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-16 10:04:59,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2011980405436153856
依法,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采项目(005标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251215,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采（招标编号：HXZB-HW20251215），确定005第五标段的中标人如下:,滨州正创电气有限公司,958562.90元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,清徐县凯通天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-16 10:04:55,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2011980470716301312
依法,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采项目(007标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251215,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采（招标编号：HXZB-HW20251215），确定007第七标段的中标人如下:,山西金顺旗贸易有限公司,579924元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,清徐县凯通天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-16 10:04:52,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2011980555986501632
依法,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采项目(009标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251215,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采（招标编号：HXZB-HW20251215），确定009第九标段的中标人如下:,天津满华管材有限公司,2254984.45元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,清徐县凯通天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-16 10:02:40,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2011980650672914432
依法,华新城市燃气长治有限公司长治区域7家公司2025年度城网物资区域B类物资和PE管材管件集采项目(001标段)重新招标中标结果公示,能源电力,重新招标,公开招标,HXZB-HW20251101,华新城市燃气长治有限公司长治区域7家公司2025年度城网物资区域B类物资和PE管材管件集采项目（招标编号：HXZB-HW20251101），确定001第一标段的中标人如下:,河北天隆管道设备有限公司,998445.90元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,华新城市燃气长治有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-16 09:48:59,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2011978075856797696
依法,山西国新液化煤层气有限公司定量装车撬采购中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251110,山西国新液化煤层气有限公司定量装车撬采购（招标编号：HXZB-HW20251110），确定001第一标段的中标人如下:,山西斯贝克智能科技股份有限公司,1158000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新液化天然气集团有限公司,山西国新液化煤层气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-01-13 14:23:57,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2010960472313004032
依法,山西沁盛煤层气作业有限责任公司连续油管底封拖动、定向射孔技术服务项目中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20251209,山西沁盛煤层气作业有限责任公司连续油管底封拖动、定向射孔技术服务项目（招标编号：HXZB-FW20251209），确定001第一标段的中标人如下:,杰瑞能源服务有限公司,2184000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-01-13 10:20:37,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2010897942458761216
依法,山西综改示范区燃气有限公司潇河产业园区太原起步区天然气利用工程项目年度施工和生产类小修项目施工中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20251215,山西综改示范区燃气有限公司潇河产业园区太原起步区天然气利用工程项目年度施工和生产类小修项目施工（招标编号：HXZB-GC20251215），确定001第一标段的中标人如下:,山西沪晋市政工程有限公司,159397.6元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西综改示范区燃气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,王挺、周文博,0351-2453225、2221733、2221755,2026-01-13 10:20:33,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2010896817420599296
依法,山西沁盛煤层气作业有限责任公司大排量压裂设备租赁服务(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20251208,山西沁盛煤层气作业有限责任公司大排量压裂设备租赁服务（招标编号：HXZB-FW20251208），确定002第二标段的中标人如下:,延安地丰石油工程技术服务有限公司,5817866.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-01-13 10:20:30,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2010895568725966848
